01010214115350	20	60
01010101001190	31	300
01010214106990	28	60
01010214109660	20	60
01010214109580	20	60
01010202101380	51	60
01010214108510	24	60
01010214109450	20	60
01010214109470	20	60
01010214117990	22	60
01010214109550	20	48
01010214104200	39	48
01010214108640	23	60
01010202105740	31	60
01010214105930	31	60
01010214113070	20	60
01010214113080	20	60
01010214106280	29	60
01010202106270	29	60
01010214105750	31	60
01010101001170	34	60
01010214103980	39	60
01010202106640	28	60
01010214106250	29	60
01010214103370	42	60
01010214105470	32	60
01010214107830	26	60
01010202102450	46	48
01010214117420	23	48
01010214104370	37	60
01010214107060	27	48
01010202108250	24	60
01010214106610	28	60
01010214108690	23	60
01010214109590	20	60
01010214108680	23	60
01010214108700	23	60
01010214117560	31	60
01010214108710	23	60
01010202108660	23	60
01010214106940	28	60
01010214108200	25	60
01010214104110	39	60
01010214117520	31	60
01010214108270	24	60
01010214109230	22	60
01010202105710	32	60
01010214105260	33	36
01010214108070	25	60
01010214117580	45	60
01010202107530	26	60
01010214107550	26	60
01010214104440	37	60
01010214109160	22	60
01010214106800	28	48
01010214106360	29	60
01010214106340	29	38
01010214107600	26	60
01010214107460	26	48
01010214107960	25	60
01010214117570	39	60
01010214104850	35	60
01010214104860	35	60
01010214103850	40	60
01010214108780	23	60
01010214108880	23	60
01010214105320	33	60
01010214112950	46	60
01010214112940	46	60
01010303200670	29	60
01010214109130	22	60
01010214104010	39	60
01010214106590	28	60
01010214106670	28	60
01010214108090	25	60
01010214104040	39	60
01010202117600	37	60
01010214105490	32	60
01010214108150	25	70
01010214107570	26	60
01010214108810	23	60
01010214115390	23	60
01010214107220	27	48
01010214105330	33	60
01010214103700	41	60
01010214108380	24	60
01010214106920	28	36
01010214108170	25	48
01010214104540	37	60
01010214103740	41	60
01010214104880	35	60
01010214115120	23	48
01010214115130	23	48
01010214108050	25	48
01010214108100	25	60
01010214106130	30	60
01010214105110	34	60
01010202113040	45	48
01010214109400	22	48
01010214105310	33	60
01010214105300	33	60
01010214105290	33	60
01010206104710	36	60
01010214109570	20	60
01010101001230	25	300
01010214104570	23	60
01010214109460	20	60
01010214109510	20	60
01010214108540	24	24
01010214108280	24	24
01010214107640	26	60
